img_name,top1,top1_prob,top2,top2_prob,top3,top3_prob
2024-08-27_09-45-15-246394_ID4_crop.jpg,none_dirt,0.8,none_bird,0.03,other,0.02
2024-08-27_09-45-16-700495_ID4_crop.jpg,none_bg,0.76,none_bird,0.05,none_dirt,0.03
2024-08-27_09-45-18-113220_ID4_crop.jpg,none_dirt,0.73,none_bird,0.04,none_bg,0.04
2024-08-27_09-45-19-505997_ID4_crop.jpg,none_dirt,0.74,none_bg,0.04,none_bird,0.03
2024-08-27_09-45-20-962806_ID4_crop.jpg,none_dirt,0.79,none_bird,0.02,none_bg,0.02
2024-08-27_09-45-22-386508_ID4_crop.jpg,none_dirt,0.81,none_bird,0.02,other,0.02
2024-08-27_09-45-23-822029_ID4_crop.jpg,none_dirt,0.83,none_bird,0.02,none_bg,0.02
2024-08-27_09-45-25-235448_ID4_crop.jpg,none_dirt,0.51,none_bird,0.18,none_bg,0.06
2024-08-27_09-45-26-664572_ID4_crop.jpg,none_dirt,0.54,none_bird,0.12,none_bg,0.11
2024-08-27_09-45-28-100453_ID4_crop.jpg,none_dirt,0.7,none_bird,0.08,none_bg,0.03
2024-08-27_09-45-29-513728_ID4_crop.jpg,none_dirt,0.62,none_bg,0.08,none_bird,0.06
2024-08-27_09-45-30-952609_ID4_crop.jpg,none_dirt,0.69,none_bird,0.08,none_bg,0.03
2024-08-27_09-45-32-379095_ID4_crop.jpg,none_dirt,0.81,none_bird,0.02,none_bg,0.02
2024-08-27_09-45-35-199506_ID4_crop.jpg,none_dirt,0.82,none_bird,0.02,lepi,0.01
2024-08-27_09-45-36-624495_ID4_crop.jpg,none_dirt,0.58,none_bird,0.09,none_bg,0.09
2024-08-27_09-45-38-026556_ID4_crop.jpg,none_dirt,0.67,none_bird,0.07,none_bg,0.06
2024-08-27_09-45-39-451341_ID4_crop.jpg,none_dirt,0.74,none_bird,0.05,none_bg,0.04
2024-08-27_09-45-40-913119_ID4_crop.jpg,none_dirt,0.8,none_bird,0.03,none_bg,0.02
2024-08-27_09-45-46-496593_ID4_crop.jpg,none_dirt,0.56,none_bird,0.13,none_bg,0.06
2024-08-27_09-45-47-915617_ID4_crop.jpg,none_dirt,0.65,none_bird,0.09,none_bg,0.03
2024-08-27_09-45-50-684531_ID4_crop.jpg,none_dirt,0.51,none_bird,0.15,none_bg,0.09
2024-08-27_09-45-54-948411_ID4_crop.jpg,none_dirt,0.56,none_bird,0.15,none_bg,0.04
2024-08-27_09-45-56-338698_ID4_crop.jpg,none_dirt,0.62,none_bird,0.09,none_bg,0.05
2024-08-27_09-45-57-733765_ID4_crop.jpg,none_dirt,0.74,none_bird,0.05,none_bg,0.02
2024-08-27_09-45-59-166826_ID4_crop.jpg,none_dirt,0.7,none_bird,0.06,none_bg,0.04
2024-08-27_09-46-06-163912_ID4_crop.jpg,none_dirt,0.66,none_bg,0.09,none_bird,0.05
2024-08-27_09-46-15-973209_ID4_crop.jpg,none_dirt,0.7,none_bird,0.06,none_bg,0.04
2024-08-27_09-46-17-403722_ID4_crop.jpg,none_dirt,0.77,none_bird,0.03,none_bg,0.03
2024-08-27_09-46-18-841497_ID4_crop.jpg,none_dirt,0.82,none_bg,0.02,none_bird,0.02
2024-08-27_09-46-32-884177_ID4_crop.jpg,none_dirt,0.8,none_bg,0.03,none_bird,0.02
2024-08-27_09-47-28-792419_ID8_crop.jpg,fly_small,0.71,none_bg,0.03,none_dirt,0.02
2024-08-27_09-47-30-219698_ID8_crop.jpg,fly_small,0.47,none_dirt,0.11,none_bg,0.08
2024-08-27_09-47-31-632661_ID8_crop.jpg,fly_small,0.45,none_dirt,0.1,none_bg,0.09
2024-08-27_09-47-33-044054_ID8_crop.jpg,fly_small,0.77,ant,0.03,none_dirt,0.03
2024-08-27_09-47-34-482892_ID8_crop.jpg,fly_small,0.87,none_bg,0.01,ant,0.01
2024-08-27_09-47-35-934071_ID9_crop.jpg,none_bg,0.75,none_bird,0.05,none_shadow,0.03
2024-08-27_09-47-52-643191_ID10_crop.jpg,none_bg,0.9,bug_grapho,0.0,scorpionfly,0.0
2024-08-27_09-47-54-073813_ID10_crop.jpg,fly,0.9,none_dirt,0.01,fly_small,0.01
2024-08-27_09-47-55-501547_ID10_crop.jpg,none_bg,0.57,fly,0.16,none_bird,0.02
2024-08-27_09-47-56-890514_ID10_crop.jpg,fly,0.92,bee,0.0,hfly_eristal,0.0
2024-08-27_09-47-58-295063_ID10_crop.jpg,fly,0.92,none_dirt,0.0,hfly_eristal,0.0
2024-08-27_09-47-59-716348_ID10_crop.jpg,none_bg,0.9,other,0.01,beetle_cocci,0.0
2024-08-27_09-48-01-116594_ID10_crop.jpg,fly,0.89,fly_small,0.01,none_bg,0.01
2024-08-27_09-48-05-326757_ID14_crop.jpg,fly,0.9,beetle,0.01,bee,0.0
2024-08-27_09-48-06-766300_ID14_crop.jpg,fly,0.9,other,0.01,fly_small,0.0
2024-08-27_09-48-08-211385_ID14_crop.jpg,fly,0.89,fly_small,0.01,beetle_oedem,0.01
2024-08-27_09-48-09-632307_ID14_crop.jpg,fly,0.83,other,0.03,fly_small,0.01
2024-08-27_09-48-11-044153_ID14_crop.jpg,fly,0.88,fly_small,0.01,hfly_myathr,0.01
2024-08-27_09-48-12-473152_ID14_crop.jpg,fly,0.88,fly_small,0.01,other,0.01
2024-08-27_09-48-13-896130_ID14_crop.jpg,fly,0.89,fly_small,0.01,other,0.0
2024-08-27_09-48-15-340506_ID14_crop.jpg,fly,0.9,other,0.0,fly_small,0.0
2024-08-27_09-48-16-758774_ID14_crop.jpg,fly,0.9,hfly_myathr,0.0,fly_small,0.0
2024-08-27_09-48-18-159904_ID14_crop.jpg,none_bg,0.9,none_shadow,0.01,other,0.01
2024-08-27_09-48-19-577047_ID14_crop.jpg,fly,0.9,beetle,0.0,hfly_syrphus,0.0
2024-08-27_09-48-20-996759_ID14_crop.jpg,fly,0.9,hfly_eristal,0.01,other,0.0
2024-08-27_09-48-22-411673_ID14_crop.jpg,fly,0.89,hfly_eristal,0.01,bee,0.01
